EmployeeNumber,TotalWorkingYears,PercentSalaryHike,NumCompaniesWorked,YearsAtCompany,MonthlyRate,HireDate,WorkLifeBalance,StandardHours,EmployeeCount,EducationField,BusinessTravel,OverTime,DistanceFromHome,HourlyRate,YearsInCurrentRole,PerformanceRating,DailyRate,Attrition,Gender,Over18,JobInvolvement,TrainingTimesLastYear,YearsSinceLastPromotion,ManagerComments,JobLevel,StockOptionLevel,Age,JobSatisfaction,Department,MonthlyIncome,EnvironmentSatisfaction,MaritalStatus,RelationshipSatisfaction,YearsWithCurrManager,Education,JobRole
778,5,18,1,5,25612,14/06/04,1,80,1,Medical,Travel_Rarely,No,14,78,0,3,856,1,Male,Y,2,2,2,High potential,1,2,34,1,research & development,3325,,married,4,0,1,Laboratory Technician
779,9,13,2,9,5523,27/11/06,1,80,1,Life Sciences,Frequently,N,16 km,63,0,4,564,yes,m,Y,4,4,0,Key talent,2,0,36,4,Saless,8256,3,S,3,0,3,Sales Executive
780,1,21,1,1,23896,13/11/17,2,80,1,Medical,None,NO,2,66,1,4,1210,NO,male,Y,2,3,0,New hire,3,1,42,4,Saless,9285,1,M,3,1,3,Sales Executive
781,22,20,1,13,22086,21/12/19,2,80,1,Marketing,None,NO,6,71,0,3,1363,no,MALE,Y,3,3,0,New hire,2,1,nan,2,SALES,6222,4,married,3,5,3,Sales Executive
782,6,12,2,6,7424,14/05/22,4,80,1,Marketing,Travel_Rarely,N,1,94,0,3,799,No,MALE,Y,1,2,0,,1,0,24.0 years,4,Sale,7407,2,married,2,2,1,Manager
783,4,16,2,1,26766,01/02/22,3,80,1,Life Sciences,Rarely,NO,1,89,1,3,1180,No,MALE,Y,2,0,0,,2,2,40,4,Research&Development,9604,3,single,2,1,1,Research Scientist
784,1,14,1,1,11939,12/12/07,3,80,1,Technical Degree,Travel_Frequently,yes,19,30,1,3,1236,0,female,Y,2,3,0,Good performer,4,0,42,2,human resources,13993,2,Single,3,0,4,Manager
785,1,23,2,0,3628,04/07/14,2,80,1,Medical,Travel Rarely,NO,13,88,0,3,834,Y,M,Y,2,3,0,Transferred from other dept,3,2,nan,2,SALES,11277,3,MARRIED,4,0,3,Sales Representative
786,25,23,1,2,15176,11-25-2008,4,80,1,Technical Degree,Travel_Rarely,Yes,11,33,2,3,1193,FALSE,M,Y,3,1,0,Excellent team player,1,1,46,4,Sale,4628,3,M,3,2,2,Sales Executive
787,6,24,1,5,9907,10-17-2019,4,80,1,Medical,non-travel,no,1,43,2,3,838,TRUE,M,Y,2,2,0,Key talent,5,1,44,1,SALES,17854,3,SINGLE,2,3,3,Sales Executive
788,12,21,2,3,5372,11/05/21,3,80,1,Medical,Frequently,No,14,47,1,3,867,Yes,Male,Y,2,3,0,On PIP,3,3,41,2,Research and Development,nan,4,Single,2,3,3,Healthcare Representative
789,0,24,1,0,26592,23/04/14,2,80,1,Technical Degree,travel_rarely,YES,4,63,0,3,1307,0,Male,Y,3,2,0,Meets expectations,1,0,36,4,SALES,6490,4,Married,4,0,4,Sales Representative
790,10,23,4,7,15102,10/01/07,4,80,1,Technical Degree,travel_rarely,Yes,3,30,0,3,843,N,m,Y,4,4,0,Flight risk,1,0,22,,R&D,4620,3,D,4,5,1,Research Scientist
791,25,21,1,1,11789,20/06/19,3,80,1,Medical,No Travel,N,6,82,0,3,375,no,male,Y,3,2,1,Needs improvement,1,2,40,,Research & Development,4370,1,D,4,0,2,Research Scientist
792,3,23,1,3,5139,09/07/14,4,80,1,Life Sciences,Travel Rarely,Yes,1,51,1,3,332,N,m,Y,2,3,0,Flight risk,3,0,38,4,R&D,11032,3,MARRIED,3,0,4,Research Scientist
793,8,14,2,2,13643,29/11/11,3,80,1,Life Sciences,Travel_Rarely,no,11,90,1,3,153,NO,Male,Y,2,3,0,Exceeded expectations,1,1,39,4,SALES,4113,3,MARRIED,3,0,1,Sales Executive
794,28,12,1,14,20643,04-25-2020,4,80,1,,Travel_Rarely,YES,6,51,3,4,356,0,male,Y,3,3,0,Remote worker,2,3,25,3,Research & Development,8493,2,single,2,2,2,Laboratory Technician
795,12,12,1,2,4250,14/02/14,3,80,1,Life Sciences,Frequently,N,1,79,2,3,189,0,MALE,Y,3,3,0,Excellent team player,1,1,27,2,Research&Development,4193,1,MARRIED,2,1,5,Healthcare Representative
796,0,21,3,0,8121,18/05/08,4,80,1,Life Sciences,travel_rarely,yes,1 km,45,0,3,507,1,male,Y,4,4,0,,4,0,46,3,R&D,14702,2,MARRIED,2,0,3,Laboratory Technician
797,4,16,1,2,10181,17/06/05,4,80,1,Technical Degree,Travel Frequently,NO,1,57,2,4,1392,Yes,Female,Y,1,3,1,Transferred from other dept,1,0,36,4,sales,6824,2,Married,4,2,2,Sales Representative
798,0,15,2,0,17303,05/11/06,2,80,1,Life Sciences,Travel Rarely,YES,1,99,0,3,465,FALSE,MALE,Y,1,4,0,High potential,4,0,43,4,R&D,12921,3,MARRIED,4,0,1,Laboratory Technician
799,19,19,3,1,18667,20/06/19,3,80,1,Medical,Rarely,NO,7,71,1,3,450,NO,FEMALE,Y,4,3,0,Remote worker,4,0,37.0 years,3,research & development,13804,4,single,3,0,1,Laboratory Technician
800,9,14,2,2,7725,09/12/08,2,80,1,Life Sciences,Travel Rarely,N,14,95,2,3,1422,N,male,Y,4,2,0,On PIP,1,0,37,1,Research and Development,5691,3,SINGLE,2,2,2,Research Scientist
801,31,15,0,0,17584,04/09/20,4,80,1,Life Sciences,travel_rarely,NO,1,64,0,3,1282,no,F,Y,3,2,0,Exceeded expectations,2,2,45,4,Saless,7346,4,S,3,0,4,Sales Representative
802,0,11,1,0,26302,06-13-2005,1,80,1,Life Sciences,travel_rarely,yes,1,49,0,3,586,FALSE,Female,Y,4,2,0,Exceeded expectations,1,0,32,1,H.R.,5696,2,single,3,0,3,Manager
803,5,22,3,5,23621,04/05/07,1,80,1,Life Sciences,None,YES,6,31,1,3,941,N,Male,Y,2,1,1,Transferred from other dept,4,3,37,2,Saless,nan,2,S,3,5,4,Sales Representative
804,1,22,2,0,15219,24/06/07,3,80,1,Marketing,travel_rarely,NO,13,36,0,3,1083,NO,F,Y,4,3,0,Meets expectations,2,2,32,4,Research and Development,9624,3,Divorced,3,0,4,Research Scientist
805,4,12,2,4,10794,07-18-2020,3,80,1,Technical Degree,Travel_Rarely,no,3,78,4,3,1478,N,m,Y,3,3,4,Needs improvement,1,3,33,3,Sales,4091,4,married,4,2,3,Sales Executive
806,1,13,2,1,16112,11/08/20,2,80,1,Life Sciences,travel_rarely,N,3,38,1,3,720,NO,m,Y,3,3,1,Average,1,0,34,3,R&D,3585,4,married,4,1,2,Research Scientist
807,3,15,3,1,13544,27/10/16,3,80,1,Medical,Travel_Rarely,NO,7,56,0,3,1029,Yes,Female,Y,3,3,1,Remote worker,2,1,38,4,Research and Development,7538,4,DIVORCED,1,1,3,Laboratory Technician
808,17,22,0,1,6075,21/10/08,4,80,1,Medical,Travel Rarely,No,2,31,0,3,500,NO,F,Y,2,3,1,High potential,4,0,32,4,R&D,12548,4,divorced,3,1,4,Manufacturing Director
809,1,15,3,1,14778,03-29-2012,3,80,1,Technical Degree,Travel_Frequently,yes,1,97,1,3,1219,YES,M,Y,1,0,0,High potential,3,0,48,2,Research and Development,11846,3,Married,2,1,4,Research Scientist
810,6,14,4,1,8162,10-25-2013,3,80,1,Marketing,Rarely,No,10,89,1,3,669,YES,MALE,Y,3,1,1,Transferred from other dept,4,1,28.0 years,4,sales,$12257.0,4,Divorced,2,1,1,Sales Representative
811,25,24,2,0,9636,10/09/04,2,80,1,Medical,Frequently,N,7,78,0,3,1074,NO,m,Y,2,3,0,,2,2,35,4,Research and Development,11499,4,Married,4,0,4,Laboratory Technician
812,40,20,4,2,24121,04/11/13,2,80,1,Medical,Rarely,No,6,31,1,3,491,Y,m,Y,3,2,2,Recently promoted,1,0,33,2,Research & Development,6943,1,single,4,2,3,Manufacturing Director
813,2,13,1,2,10002,12/12/10,3,80,1,Technical Degree,Frequently,No,10 km,46,2,3,451,1,FEMALE,Y,3,1,0,Top performer,5,0,50,4,Research&Development,17018,4,married,1,0,4,Research Director
814,27,19,2,8,15453,01/07/19,3,80,1,Life Sciences,Rarely,yes,8 km,49,0,4,905,Yes,male,Y,2,2,2,Excellent team player,1,0,38,1,R&D,6301,2,MARRIED,2,2,2,Research Scientist
815,3,11,2,3,25456,17/09/19,3,80,1,Life Sciences,non-travel,Y,1,61,3,3,675,no,m,Y,3,2,0,New hire,4,2,46,2,,11544,4,Married,3,3,3,Healthcare Representative
816,5,16,2,5,16633,09/03/11,3,80,1,,Travel Frequently,N,3,80,0,3,876,TRUE,MALE,Y,1,0,0,Recently promoted,2,3,23,3,Research and Development,11785,2,SINGLE,3,5,4,Research Scientist
817,21,17,2,4,19877,11/06/10,3,80,1,Marketing,Travel_Rarely,N,1,71,0,3,732,N,M,Y,2,2,2,Transferred from other dept,1,0,nan,4,Research & Development,4114,,Single,3,1,3,Laboratory Technician
818,15,20,,1,14992,11/02/16,3,80,1,Medical,Travel_Rarely,Yes,1,92,0,3,1411,FALSE,male,Y,3,0,1,Good performer,3,0,45,1,Sales,nan,4,MARRIED,1,1,3,Sales Representative
819,19,14,1,2,14126,08-20-2019,2,80,1,Medical,No Travel,Yes,9,90,2,4,622,N,Female,Y,3,0,2,High potential,5,3,37,4,Saless,14216,1,S,3,2,1,Manager
820,,20,1,1,15090,12-25-2010,4,80,1,Life Sciences,Rarely,Yes,15,91,1,3,825,N,F,Y,2,4,1,,5,0,46,4,SALES,17729,4,M,2,1,2,Sales Executive
821,2,13,4,2,18756,08-13-2015,2,80,1,Medical,Rarely,N,26 km,32,0,3,261,NO,female,Y,2,2,2,On PIP,1,1,32,2,R&D,3340,3,Married,3,2,3,Laboratory Technician
822,8,18,0,8,23971,23/07/23,3,80,1,Medical,Travel_Rarely,No,7,55,2,99,758,no,MALE,Y,3,3,2,,1,0,49,4,Sale,5152,1,MARRIED,2,1,5,Sales Representative
823,4,19,3,1,9071,13/01/17,2,80,1,Medical,Frequently,NO,1,77,1,3,1305,FALSE,F,Y,2,2,1,Transferred from other dept,2,0,57,3,Sales,7183,4,married,2,1,2,Sales Representative
824,,23,4,3,15749,16/06/04,3,80,1,Medical,non-travel,N,1,37,1,3,949,N,female,Y,4,5,1,Top performer,2,1,33,2,Sales,6383,1,Divorsed,2,3,3,Sales Executive
825,1,11,4,1,21275,22/09/12,3,80,1,Technical Degree,travel_rarely,NO,13,34,1,4,181,FALSE,Female,Y,4,3,1,Good performer,3,2,32,1,Research&Development,9793,4,married,1,1,3,Healthcare Representative
826,3,21,1,3,13983,10/09/13,3,80,1,Life Sciences,travel_rarely,Y,6,40,0,4,623,Y,M,Y,2,2,0,Meets expectations,1,0,50,3,Research and Development,5338,3,married,2,1,2,Laboratory Technician
827,19,22,3,1,8586,12/01/16,3,80,1,Medical,Travel Frequently,no,7 km,71,0,3,103,no,M,Y,4,2,1,Transferred from other dept,5,0,51.0 years,1,Human Resourses,15077,4,MARRIED,4,1,3,Human Resources
828,22,20,2,1,26007,03/10/11,3,80,1,Life Sciences,No Travel,No,12,70,1,3,594,0,m,Y,3,1,0,Remote worker,2,0,32.0 years,4,research & development,6876,4,S,2,0,4,Laboratory Technician
829,9,19,2,9,21703,05/10/06,4,80,1,Medical,travel_rarely,No,9,48,0,3,1174,0,male,Y,3,4,0,Needs improvement,3,1,33,1,research & development,11994,3,single,3,4,4,Laboratory Technician
830,6,17,3,0,12641,23/12/19,2,80,1,Life Sciences,Travel Rarely,N,14,77,0,3,1384,Yes,male,Y,2,3,0,Exceeded expectations,2,2,34,3,Research and Development,11903,4,Single,3,0,3,Research Director
831,12,11,1,4,5967,21/07/15,4,80,1,Medical,travel_rarely,NO,1,82,0,3,1257,yes,m,Y,2,2,2,Remote worker,2,2,24,3,R&D,8716,,M,2,2,3,Laboratory Technician
832,9,17,5,9,2822,30/07/10,3,80,1,Technical Degree,Rarely,no,11,84,4,3,1485,no,MALE,Y,4,5,0,Average,5,0,28,3,Human Resources,15624,4,Married,3,3,2,Manager
833,40,15,1,12,2221,22/02/14,3,80,1,Medical,No Travel,N,15 km,90,0,3,667,YES,FEMALE,Y,3,2,0,Recently promoted,2,2,27,1,Research and Development,7449,4,DIVORCED,4,5,5,Research Scientist
834,2,20,6,0,8880,19/12/04,4,80,1,Technical Degree,travel_frequently,No,2,61,0,3,1340,N,m,Y,3,3,0,Top performer,4,0,30,2,research & development,14047,2,single,1,0,2,Manufacturing Director
835,5,23,2,2,14129,30/08/08,2,80,1,Other,Travel Rarely,no,8,75,0,3,977,0,M,Y,1,4,0,,5,0,36,2,Sales,16475,3,Single,4,2,4,Sales Representative
836,25,23,0,1,17543,07-26-2017,3,80,1,Life Sciences,Non Travel,No,3,65,1,4,1191,YES,Female,Y,4,4,0,New hire,3,2,39.0 years,3,Research & Development,$12354.0,3,DIVORCED,4,1,2,Manufacturing Director
837,,17,3,4,5888,12/09/04,3,80,1,Life Sciences,Non-Travel,NO,25,47,0,4,1111,No,FEMALE,Y,3,3,0,Meets expectations,2,0,50,2,research & development,$8326.0,4,single,4,2,5,Laboratory Technician
838,6,22,4,5,15499,12-15-2021,3,80,1,Human Resources,Travel_Rarely,NO,1,47,4,3,1114,0,Female,Y,3,4,2,,1,0,28,2,research & development,nan,2,MARRIED,2,5,4,Laboratory Technician
839,1,19,3,1,12352,04/08/21,4,80,1,Human Resources,travel_rarely,no,6,41,1,4,963,N,female,Y,2,5,1,New hire,1,0,45,1,Sales,4528,1,Married,3,0,4,Sales Representative
840,16,18,3,3,23684,21/07/23,3,80,1,Life Sciences,travel_rarely,Yes,1,75,1,3,1266,Yes,male,Y,4,5,3,Recently promoted,1,1,35.0 years,4,Research&Development,6988,1,M,3,3,2,Healthcare Representative
841,8,16,3,4,21654,11/09/14,4,80,1,Life Sciences,travel_rarely,NO,9,84,0,3,1469,No,FEMALE,Y,3,2,0,High potential,1,1,36,4,Sales,4750,2,Single,1,0,3,Sales Executive
842,14,12,3,-2,12117,02/06/07,4,80,1,Life Sciences,Travel_Rarely,no,1,67,2,3,878,N,M,Y,2,2,0,Remote worker,1,0,43,4,R&D,3543,2,Single,3,2,3,Healthcare Representative
843,6,18,0,0,23077,14/09/11,3,80,1,Other,Travel Rarely,no,2,31,0,3,1317,FALSE,male,Y,3,2,0,Transferred from other dept,1,2,26,3,R&D,8265,3,S,4,0,4,Laboratory Technician
844,2,22,1,1,14772,16/12/13,3,80,1,Life Sciences,Travel_Frequently,N,5,38,1,3,1104,YES,Male,Y,4,4,1,Excellent team player,2,2,40,1,Research&Development,$5262.0,3,MARRIED,4,0,1,Research Scientist
845,0,24,3,0,25950,05/11/05,2,80,1,Medical,non-travel,YES,19,34,0,4,1369,N,M,Y,3,1,0,On PIP,2,2,38.0 years,3,Research and Development,6891,4,MARRIED,2,0,5,Healthcare Representative
846,8,14,3,8,5993,06/02/17,3,80,1,Technical Degree,travel_rarely,No,1,48,8,3,413,no,MALE,Y,3,2,1,Good performer,1,1,41,3,Sales,4059,4,Single,2,0,4,Sales Executive
847,1,18,0,1,20982,03/03/19,2,80,1,Life Sciences,travel_rarely,NO,1,68,1,3,829,0,female,Y,2,0,1,,1,0,39,3,sales,8762,2,Married,2,1,2,Sales Representative
848,2,17,2,1,3666,21/09/13,3,80,1,Medical,travel_rarely,N,11,71,0,3,483,N,FEMALE,Y,3,3,0,Average,3,0,59,3,Research & Development,13710,1,DIVORCED,2,1,4,Research Scientist
849,5,14,2,3,18312,09/05/21,4,80,1,Life Sciences,non-travel,no,5,46,1,3,376,FALSE,M,Y,3,3,0,Flight risk,2,1,31,3,Research&Development,10240,4,S,3,3,3,Research Scientist
850,5,18,0,1,13273,05-22-2013,4,80,1,Technical Degree,travel_frequently,Yes,19,92,0,3,1195,1,M,Y,3,2,1,,2,2,32,1,Sale,7504,4,married,4,1,3,Sales Executive
851,3,21,4,1,16338,01-21-2016,3,80,1,Life Sciences,Rarely,no,1,75,1,3,1252,yes,F,Y,3,3,1,Top performer,2,3,31,1,Research&Development,11639,4,M,4,0,3,Research Scientist
852,1,21,3,1,6757,07/07/13,4,80,1,Medical,Frequently,N,8,49,1,3,1481,yes,f,Y,2,2,1,Remote worker,3,0,32,1,Research&Development,11552,3,Single,4,1,3,Manufacturing Director
853,28,22,3,14,13360,09/07/05,3,80,1,Medical,Rarely,No,2 km,99,5,3,797,no,m,Y,4,2,3,Needs improvement,2,0,31,2,H.R.,9465,2,SINGLE,3,0,4,Human Resources
854,1,21,1,0,19938,04-28-2006,3,80,1,Life Sciences,Travel_Rarely,NO,1,37,0,3,1343,N,Female,Y,3,5,0,Top performer,2,0,47,2,R&D,8269,3,M,3,0,3,Laboratory Technician
855,4,12,2,4,8115,10/01/23,3,80,1,Life Sciences,Travel Rarely,N,9,48,0,4,1129,YES,M,Y,3,3,3,Exceeded expectations,5,0,49,2,H.R.,16925,,Divorsed,4,1,3,Human Resources
856,3,19,1,3,7437,18/05/06,2,80,1,Life Sciences,travel_rarely,no,7,61,2,3,850,0,M,Y,2,2,1,Needs improvement,3,1,31,2,research & development,nan,2,Divorsed,4,2,4,Research Scientist
857,,16,1,2,24625,23/07/17,3,80,1,Life Sciences,Rarely,yes,11,48,0,3,1082,Y,female,Y,4,6,0,Recently promoted,2,3,29,2,Sale,7685,3,Married,4,0,4,Sales Representative
858,5,17,4,5,11272,23/02/09,3,80,1,Marketing,Travel_Rarely,no,2,53,1,3,723,No,Male,Y,3,2,1,Meets expectations,2,1,41,2,research & development,8912,1,married,3,0,1,Research Scientist
859,1,20,0,1,14126,02/11/05,3,80,1,Marketing,Travel Rarely,Yes,4,53,0,3,327,NO,Male,Y,2,3,1,Top performer,1,1,32,2,Research and Development,5550,3,married,4,1,4,Laboratory Technician
860,0,11,3,0,18471,14/08/14,4,80,1,Medical,travel_rarely,yes,4,85,0,3,116,1,FEMALE,Y,4,3,0,New hire,2,1,42,3,Research&Development,7952,3,M,3,0,3,Healthcare Representative
861,12,13,2,1,9115,10-29-2023,2,80,1,Medical,travel_rarely,No,29,47,1,3,111,NO,F,Y,2,2,0,Needs improvement,5,0,38,4,research & development,19264,3,Married,4,1,2,Manufacturing Director
862,12,24,3,1,4703,15/08/14,4,80,1,Medical,Travel Rarely,no,2,41,0,3,791,N,male,Y,3,3,0,New hire,2,2,23,4,Research and Development,3549,3,Single,4,1,2,Healthcare Representative
863,,20,3,0,13151,01/05/23,3,80,1,Marketing,Travel Rarely,YES,2,70,0,4,169,0,MALE,Y,3,2,0,Average,4,1,50,4,Research&Development,14764,3,married,2,0,3,Research Scientist
864,1,15,2,1,20802,07/10/15,4,80,1,Medical,Travel Rarely,no,3,77,0,4,207,FALSE,m,Y,4,3,1,Remote worker,2,0,53,3,Research&Development,9076,4,MARRIED,4,1,4,Research Scientist
865,4,22,3,3,6147,04/12/12,3,80,1,Life Sciences,Travel_Rarely,NO,6,93,3,3,300,Y,F,Y,2,2,0,,5,1,31,3,Sales,18720,3,MARRIED,2,0,3,Sales Representative
866,8,17,,6,3747,19/06/10,2,80,1,Life Sciences,Rarely,no,2,45,0,3,1175,yes,Male,Y,3,3,1,Exceeded expectations,2,1,33,1,Research&Development,7902,4,D,4,4,4,Manufacturing Director
867,12,11,2,1,10232,02/05/20,4,80,1,Medical,travel_frequently,No,19,52,1,3,728,No,M,Y,3,3,1,Good performer,1,0,39,4,Research & Development,5311,2,S,3,0,1,Laboratory Technician
868,0,19,1,0,17151,11/04/14,3,80,1,Medical,Rarely,NO,2,68,0,3,1382,No,F,Y,2,3,0,Average,2,0,40,4,R&D,9478,3,single,4,0,3,Manufacturing Director
869,8,15,2,1,12330,21/02/15,3,80,1,Medical,Travel Rarely,N,18,62,0,4,1387,no,m,Y,4,4,1,High potential,1,0,42,4,R&D,7236,1,Single,1,1,5,Laboratory Technician
870,3,23,1,3,18422,19/06/09,4,80,1,Life Sciences,non-travel,No,1,53,2,3,1005,NO,male,Y,4,0,3,Exceeded expectations,1,0,55.0 years,,Research and Development,4549,1,MARRIED,1,1,4,Research Scientist
871,9,22,1,1,13276,10/06/22,2,80,1,Medical,travel_rarely,Y,8,90,0,3,402,NO,male,Y,4,1,1,New hire,3,0,35.0 years,3,Research & Development,11400,2,MARRIED,4,0,2,Manufacturing Director
872,10,13,1,10,25427,17/12/10,3,80,1,Life Sciences,Rarely,No,19,84,5,3,1036,FALSE,female,Y,4,2,4,Remote worker,1,1,29,1,sales,7517,3,MARRIED,3,2,3,Sales Representative
873,24,17,4,2,20535,25/08/09,2,80,1,Life Sciences,Rarely,NO,1,90,0,3,675,TRUE,MALE,Y,3,6,0,Good performer,3,1,24,4,R&D,7813,,MARRIED,4,2,2,Laboratory Technician
874,5,20,1,5,5937,04/08/07,4,80,1,Medical,travel_rarely,Y,27,69,5,3,654,Y,male,Y,3,4,1,Top performer,1,1,30,2,R&D,nan,4,married,4,5,3,Healthcare Representative
875,7,18,2,2,8886,13/10/16,1,80,1,Life Sciences,Travel_Rarely,N,4,87,2,3,224,No,FEMALE,Y,3,5,2,,1,3,36,3,Saless,7198,4,MARRIED,3,2,4,Sales Executive
876,3,20,3,0,12282,09/02/14,2,80,1,Medical,Travel Rarely,YES,23,30,0,3,1393,FALSE,m,Y,3,2,0,Exceeded expectations,5,1,53,2,Sales,18638,2,Married,4,0,4,Sales Executive
877,3,20,0,3,2208,12-30-2007,2,80,1,Life Sciences,Rarely,No,9,54,2,3,958,FALSE,M,Y,3,3,3,Needs improvement,2,1,32,4,R&D,8783,4,MARRIED,1,3,2,Healthcare Representative
878,0,13,1,0,2599,11/08/12,4,80,1,Medical,non-travel,Y,2,82,0,3,844,NO,MALE,Y,3,3,0,Recently promoted,2,2,39,2,,7327,3,D,3,0,4,Sales Representative
879,3,17,1,3,5709,12-24-2010,3,80,1,Medical,Frequently,N,1,90,0,3,579,N,m,Y,3,3,0,New hire,2,1,36,4,Research & Development,$6677.0,4,Single,3,1,3,Laboratory Technician
880,0,17,0,0,26110,01/04/05,3,80,1,Life Sciences,travel_rarely,NO,2 km,75,0,3,231,no,MALE,Y,3,3,0,Needs improvement,2,0,47,3,Sale,7113,3,SINGLE,4,0,3,Sales Executive
881,33,14,1,0,18597,01-31-2018,2,80,1,Life Sciences,Travel_Rarely,No,1,89,0,3,1125,Y,m,Y,4,2,0,Transferred from other dept,4,0,59,3,research & development,$16322.0,1,married,4,0,3,Research Scientist
882,9,20,4,4,7723,05/09/20,3,80,1,Technical Degree,Rarely,no,1,80,3,3,214,FALSE,male,Y,4,3,0,Key talent,3,1,32,2,Saless,10057,3,divorced,2,4,3,Sales Representative
883,1,19,2,1,16004,08/05/19,3,80,1,Medical,travel_rarely,Yes,1,77,1,3,580,FALSE,male,Y,2,4,0,High potential,2,1,32,4,Human Resourses,8152,3,MARRIED,4,0,3,Human Resources
884,1,11,2,1,24936,06/05/23,3,80,1,Medical,Rarely,NO,4,69,1,4,1080,no,f,Y,3,2,1,Excellent team player,4,3,46,4,Research and Development,12869,4,S,4,1,3,Healthcare Representative
885,4,11,2,4,11768,10-25-2009,3,80,1,Life Sciences,travel_frequently,Y,12,36,3,3,1124,Yes,Female,Y,3,5,4,Recently promoted,1,1,43,3,Research & Development,6264,2,married,3,2,3,Research Director
886,,15,2,0,12316,27/06/20,3,80,1,Medical,Travel Rarely,N,1,48,0,3,430,No,f,Y,2,3,0,On PIP,2,2,53,,R&D,7191,3,Married,4,0,2,Healthcare Representative
887,3,23,1,0,24622,19/01/08,4,80,1,Medical,travel_frequently,YES,1,44,0,3,1041,NO,FEMALE,Y,4,3,0,On PIP,5,0,42,1,Research and Development,16853,,S,3,0,4,Laboratory Technician
888,6,13,2,6,26844,25/02/22,2,80,1,Medical,travel_rarely,No,8,99,6,3,1054,N,m,Y,1,3,1,Meets expectations,2,1,33,2,Research and Development,5474,3,married,4,2,3,Manufacturing Director
889,24,20,0,8,20792,05/09/23,3,80,1,Medical,travel_frequently,N,1,90,2,3,867,No,F,Y,3,3,0,Remote worker,3,3,42,3,research & development,8579,4,D,3,0,2,Laboratory Technician
890,8,23,2,8,9972,12-28-2020,3,80,1,Life Sciences,travel_rarely,no,1 km,85,0,3,490,0,Male,Y,4,2,1,Average,3,0,46,4,Research & Development,11011,4,married,2,6,4,Research Scientist
891,7,19,2,4,23162,09/09/09,3,80,1,Life Sciences,Travel Rarely,NO,1 km,39,1,3,933,FALSE,f,Y,3,3,1,New hire,3,0,nan,3,,9012,4,married,3,1,5,Research Scientist
892,16,15,4,9,19206,21/11/15,3,80,1,Marketing,Travel_Rarely,No,20,75,2,4,242,NO,Female,Y,3,1,1,Top performer,4,0,41,3,R&D,$17157.0,1,M,2,5,5,Laboratory Technician
893,0,17,2,0,24484,04-14-2009,3,80,1,Human Resources,Travel Rarely,No,13,86,0,3,427,0,Female,Y,4,6,0,Key talent,1,2,46,,Research and Development,1907,2,SINGLE,3,0,3,Healthcare Representative
894,2,11,2,2,20979,05/04/17,4,80,1,Life Sciences,Travel_Frequently,no,3,64,2,3,727,N,f,Y,4,2,1,,1,0,nan,4,Research&Development,$3799.0,1,Divorsed,2,2,2,Research Scientist
895,6,12,3,6,26501,25/01/05,3,80,1,Medical,Travel_Rarely,Y,8,32,6,3,476,1,m,Y,4,2,0,Top performer,2,1,49,3,sales,$8025.0,2,MARRIED,2,2,3,Sales Executive
896,12,21,6,0,17546,06/05/06,3,80,1,Life Sciences,No Travel,No,6,95,0,4,189,N,male,Y,3,5,0,Needs improvement,3,0,42,3,research & development,10452,3,M,4,0,2,Research Director
897,6,22,2,5,22337,06/10/15,4,80,1,Life Sciences,Frequently,no,9,82,0,3,907,YES,m,Y,3,2,2,Excellent team player,1,0,35,4,Research & Development,3343,3,married,3,0,5,Research Scientist
898,1,14,1,1,22215,18/02/09,3,80,1,Life Sciences,Travel_Rarely,yes,9,81,0,4,1120,FALSE,m,Y,4,2,1,,1,3,38,3,Saless,3563,,married,4,0,2,Sales Representative
899,26,19,3,0,12291,01-22-2022,3,80,1,Life Sciences,No Travel,no,7,82,0,3,1165,FALSE,male,Y,2,4,0,New hire,1,0,47,3,sales,$3514.0,3,married,3,0,2,Sales Executive
900,3,15,3,3,22967,06/11/09,4,80,1,Medical,travel_rarely,NO,2,83,1,3,1158,Y,female,Y,4,2,2,Needs improvement,5,0,29,4,R&D,16569,3,single,3,1,3,Research Scientist
901,15,15,2,1,13794,12/04/10,4,80,1,,Travel Rarely,NO,1,76,1,4,1111,FALSE,F,Y,4,1,0,On PIP,3,0,40,4,,13927,3,divorced,3,0,3,Manager
902,22,19,1,8,13659,07/06/21,4,80,1,Life Sciences,Travel_Frequently,No,4,32,1,3,652,Yes,m,Y,3,2,1,Recently promoted,2,1,33,4,Research and Development,8116,2,DIVORCED,4,0,4,Research Scientist
903,,18,4,4,24619,22/07/10,3,80,1,Life Sciences,None,No,17,94,2,3,223,NO,FEMALE,Y,1,4,2,Transferred from other dept,1,0,37,1,sales,6774,3,married,2,2,3,Sales Representative
904,,12,1,13,9983,27/09/20,3,80,1,Marketing,Rarely,Yes,6,44,0,3,156,0,Female,Y,1,2,2,,2,1,48.0 years,3,Research & Development,8760,1,D,3,0,2,Research Scientist
905,12,17,2,6,8500,14/11/19,4,80,1,Life Sciences,Frequently,N,14 km,63,2,3,905,FALSE,female,Y,2,3,1,Excellent team player,1,3,38,2,Research & Development,$6670.0,4,single,2,1,2,Research Scientist
906,23,11,4,2,24235,11/01/12,2,80,1,Medical,travel_rarely,N,29,79,2,3,334,0,f,Y,3,2,0,,1,0,37.0 years,2,R&D,nan,4,married,3,2,3,Research Scientist
